Mine ID,Mine Name,Commodity,Mine Status,Status Date,Type of Mine,Street,City,State,Zip Code,full_address,lat,lon,confidence,geocode_method
4102982,Kritchmer & Zelisko Pit And Plant,"Crushed, Broken Limestone NEC",Abandoned,2/13/1981,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102972,Amarillo Quarry,"Crushed, Broken Limestone NEC",Abandoned,12/5/1979,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102970,Smith Pit & Plant,"Crushed, Broken Limestone NEC",Abandoned,2/20/1986,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102963,Bennie,"Crushed, Broken Limestone NEC",Abandoned,3/31/1980,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102934,Midlothian Quarry,"Crushed, Broken Limestone NEC",Abandoned,11/28/1979,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102959,Dunk'S Pit,"Crushed, Broken Limestone NEC",Abandoned,9/15/1988,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102955,Ed Meek Pit,"Crushed, Broken Limestone NEC",Abandoned,6/28/1983,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102951,Toscosa Pit,"Crushed, Broken Limestone NEC",Abandoned,3/27/1980,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102945,Capitol Cement Quarry,"Crushed, Broken Limestone NEC",Abandoned,4/22/1994,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102940,Southwestern Portland Cement Co Min,"Crushed, Broken Limestone NEC",Abandoned,12/18/1979,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102939,Southwestern Portland Cement Co Min,"Crushed, Broken Limestone NEC",Abandoned,12/18/1979,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102938,Boothe Pit,"Crushed, Broken Limestone NEC",Abandoned,2/1/1981,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102937,Allan Crusher-Reeves Pit,"Crushed, Broken Limestone NEC",Abandoned,5/21/1980,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102936,Waco Quarry,"Crushed, Broken Limestone NEC",Abandoned,11/28/1979,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103004,Gid Carlisle,"Crushed, Broken Limestone NEC",Abandoned,12/15/1980,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103008,Washer #1,"Crushed, Broken Limestone NEC",Abandoned,5/11/1993,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103012,Slaton Pit,"Crushed, Broken Limestone NEC",Abandoned,7/6/1983,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103013,Beck Pit,"Crushed, Broken Limestone NEC",Abandoned,5/27/1981,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103077,Txi Metroplex Stone,"Crushed, Broken Limestone NEC",Abandoned,9/4/1987,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103076,Cpx-2 (Portable Crusher),"Crushed, Broken Limestone NEC",Abandoned,5/22/1981,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103072,Wescott Pit,"Crushed, Broken Limestone NEC",Abandoned,10/17/1983,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103071,Gunter Pit,"Crushed, Broken Limestone NEC",Abandoned,7/2/1984,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103065,Certified Crushed Stone,"Crushed, Broken Limestone NEC",Abandoned,12/16/1983,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103055,Lampasas Quarry,"Crushed, Broken Limestone NEC",Abandoned,1/8/1992,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103051,Quarry #2,"Crushed, Broken Limestone NEC",Abandoned,9/10/1985,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103049,Robbins Pit,"Crushed, Broken Limestone NEC",Abandoned,1/7/1981,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103048,Quarry #1,"Crushed, Broken Limestone NEC",Abandoned,2/19/1985,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103036,Onion Creek Crusher,"Crushed, Broken Limestone NEC",Abandoned,6/1/1993,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103027,CULBERSON SAND PIT,"Crushed, Broken Limestone NEC",Abandoned,9/5/2013,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103026,Crusher #4,"Crushed, Broken Limestone NEC",Abandoned,10/10/1989,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103024,Transit Rock Crusher,"Crushed, Broken Limestone NEC",Abandoned,5/1/1991,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103020,Prairie Dell Crusher,"Crushed, Broken Limestone NEC",Abandoned,3/21/1990,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103018,RICHLAND PLANT,"Crushed, Broken Limestone NEC",Abandoned,7/28/1999,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103017,Quintana Lease,"Crushed, Broken Limestone NEC",Abandoned,4/10/1987,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
